@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data
0.780475,0.707104,0,0,1,1,0.780475,123,0.341932,0.385671,73,bad
0.089874,0.912236,0,0,0.5,1,0.089874,197.739728,1,0.298962,5,bad
0.644978,0.928785,0,0,0.5,1,0.644978,302.637473,1,0.078025,7,bad
0.567099,0.519093,0,1,1,0,0.567099,63.879022,0.658098,0.208947,4,bad
0.529728,0.426653,0,0,1,1,0.529728,54,1,0.226118,186,bad
0.348976,0.609592,0,0,1,1,0.348976,44,0.670779,0.274672,187,bad
0.865749,0.48728,0.031798,0.026316,0.763158,0.973684,0.869991,199.743911,0.914348,1,2,bad
0.455571,1,0,0,1,1,0.455571,168.003968,0.094556,0.972028,204,bad
1,0.148211,0,0,1,1,1,87,1,0.047596,197,bad
0.389427,0.131542,0.08323,0.399586,0.913207,0.600414,0.23927,277.680128,0.56411,0.202237,4.289855,good
0.511396,1,0,0,1,1,0.511396,57.280014,1,0.21167,2,bad
0.331091,0.852049,0,0.111111,0.739766,0.888889,0.325409,74.977962,0.330961,1,6.111111,bad
0.808828,0.316933,0.078125,0,0.907895,1,0.950747,136.802325,0.311406,0.475502,2,bad
1,1,0,0,1,1,1,39,1,1,0,bad
1,1,0,0.25,1,0.75,1,130.637125,1,1,1,bad
0.05612,0.090302,0,0,0.25,1,0.05612,175.755512,0.106481,0.425543,2,bad
0.359089,1,0.5,0,1,1,0.806019,103.245666,0.459684,0.057906,9,bad
0.094099,0.541374,0,0,0.37037,1,0.045276,69.14253,0.29099,0.218255,9.333333,bad
0.876169,0.285859,0.083333,0,0.533333,1,0.567338,170.66671,0.685157,0.079277,5.533333,bad
0.142189,1,0,0,0.428571,1,0.064012,105.656295,0.410049,0.488725,7,bad
0.738841,0.122827,0,0,1,1,0.738841,96.317184,0.146704,1,5,bad
0.332807,0.495625,0.033333,0.2,0.74176,0.8,0.170177,147.78822,0.679571,1,3,bad
0.182508,0.279547,0.05,0.1,0.773869,0.9,0.111881,103.477255,0.074636,0.024652,6.1,bad
1,0.01372,0,0,1,1,1,174,1,0.518455,119,bad
0.075199,1,0,0,0.5,1,0.044995,2,0.005643,0.270485,5,bad
0.513627,0.699863,0.25,0,0.583333,1,0.378659,94.33111,0.238763,1,11,bad
0.130608,0.282032,0.058824,0,0.490196,1,0.07817,175.32634,0.536539,0.248855,5.294118,bad
0.171562,0.163199,0.333333,0.166667,1,0.833333,0.350876,241.090428,0.295951,1,7,bad
0.030625,0.359195,0,0,1,1,0.054882,96.49381,0.035773,1,6,bad
0,1,0,0,1,1,0,0,0,0,0,bad
0.638554,0.686534,0,0,0.5,1,0.423622,266.857985,1,0.386068,11.5,bad
0,1,0,1,1,0,0,113.801756,0.837518,0.551949,172,bad
